subtype,reference,name,segment,segments,protein_coding,residue_offset,notes,domains
SARS-CoV-2,WIV04,nsp1,1,266..805,1,0,Suppress host antiviral response. produced by both pp1a and pp1ab,[]
SARS-CoV-2,WIV04,nsp2,1,806..2719,1,0,produced by both pp1a and pp1ab. Interacts with host PHB and PHB2. 181..818 relative to ORF1a start.,"[{""name"": ""Leucine-rich repeat 1"", ""ranges"": [[365, 389]]}, {""name"": ""Leucine-rich repeat 2"", ""ranges"": [[517, 539]]}]"
SARS-CoV-2,WIV04,nsp3 - PL2-PRO,1,2720..8554,1,0,"nsp3-nsp4-nsp6 complex involved in viral replication. former nsp1; conserved domains are: N-terminal acidic (Ac), predicted phosphoesterase, papain-like proteinase (PL-pro), Y-domain, transmembrane domain 1 (TM1), adenosine diphosphate-ribose 1''-phosphatase (ADRP); produced by both pp1a and pp1ab. 819..2763 relative to ORF1a start","[{""name"": ""Macro"", ""ranges"": [[207, 376]]}, {""name"": ""Peptidase C16"", ""ranges"": [[816, 1080]]}, {""name"": ""Leucine-rich repeat 3"", ""ranges"": [[862, 884]]}, {""name"": ""Zinc finger (C4 type)"", ""ranges"": [[934, 971]]}, {""name"": ""All Transmembrane"", ""ranges"": [[1408, 1428], [1500, 1520]]}, {""name"": ""All Cytoplasmic"", ""ranges"": [[1, 1407], [1520, 1945]]}, {""name"": ""Cytoplasmic 1"", ""ranges"": [[1, 1407]]}, {""name"": ""Transmembrane 1, helical"", ""ranges"": [[1408, 1428]]}, {""name"": ""Lumenal"", ""ranges"": [[1429, 1499]]}, {""name"": ""Transmembrane 2, helical"", ""ranges"": [[1500, 1520]]}, {""name"": ""Cytoplasmic 2"", ""ranges"": [[1520, 1945]]}]"
SARS-CoV-2,WIV04,nsp4,1,8555..10054,1,0,nsp3-nsp4-nsp6 complex involved in viral replication. nsp4B_TM; contains transmembrane domain 2 (TM2); produced by both pp1a and pp1ab. Interacts with PL-Pro and nsp6. 2764..3263 relative to ORF1a start,"[{""name"": ""Leucine-rich repeat 4"", ""ranges"": [[422, 444]]}, {""name"": ""All Cytoplasmic"", ""ranges"": [[1, 12], [303, 336], [386, 500]]}, {""name"": ""All Transmembrane"", ""ranges"": [[13, 33], [282, 302], [337, 357], [365, 385]]}, {""name"": ""All Lumenal"", ""ranges"": [[34, 281], [358, 364]]}, {""name"": ""Cytoplasmic 1"", ""ranges"": [[1, 12]]}, {""name"": ""Transmembrane 1, helical"", ""ranges"": [[13, 33]]}, {""name"": ""Lumenal 1"", ""ranges"": [[34, 281]]}, {""name"": ""Transmembrane 2, helical"", ""ranges"": [[282, 302]]}, {""name"": ""Cytoplasmic 2"", ""ranges"": [[303, 336]]}, {""name"": ""Transmembrane 3, helical"", ""ranges"": [[337, 357]]}, {""name"": ""Lumenal 2"", ""ranges"": [[358, 364]]}, {""name"": ""Transmembrane 4, helical"", ""ranges"": [[365, 385]]}, {""name"": ""Cytoplasmic 3"", ""ranges"": [[386, 500]]}]"
SARS-CoV-2,WIV04,nsp5 - 3CLp,1,10055..10972,1,0,"3C-like protease. nsp5A_3CLpro and nsp5B_3CLpro; main proteinase (Mpro); mediates cleavages downstream of nsp4. 3D structure of the SARSr-CoV homolog has been determined (Yang et al., 2003); produced by both pp1a and pp1ab. 3CL-pro exists as a monomer and homodimer. Only the homodimer shows catalytic activity. 3264..3569 relative to ORF1a start","[{""name"": ""Peptidase C30"", ""ranges"": [[1, 306]]}, {""name"": ""Cytoplasmic"", ""ranges"": [[1, 306]]}]"
SARS-CoV-2,WIV04,nsp6,1,10973..11842,1,0,nsp3-nsp4-nsp6 complex involved in viral replication. nsp6_TM; putative transmembrane domain; produced by both pp1a and pp1ab. 3570..3859 relative to ORF1a start,"[{""name"": ""Cytoplasmic 1"", ""ranges"": [[1, 17]]}, {""name"": ""Transmembrane 1, helical"", ""ranges"": [[18, 38]]}, {""name"": ""Lumenal 1"", ""ranges"": [[39, 39]]}, {""name"": ""Transmembrane 2, helical"", ""ranges"": [[40, 60]]}, {""name"": ""Cytoplasmic 2"", ""ranges"": [[61, 65]]}, {""name"": ""Transmembrane 3, helical"", ""ranges"": [[66, 86]]}, {""name"": ""Lumenal 2"", ""ranges"": [[87, 104]]}, {""name"": ""Transmembrane 4, helical"", ""ranges"": [[105, 125]]}, {""name"": ""Cytoplasmic 3"", ""ranges"": [[126, 160]]}, {""name"": ""Transmembrane 5, helical"", ""ranges"": [[161, 181]]}, {""name"": ""Lumenal 3"", ""ranges"": [[182, 209]]}, {""name"": ""Transmembrane 6, helical"", ""ranges"": [[210, 230]]}, {""name"": ""Cytoplasmic 4"", ""ranges"": [[231, 290]]}]"
SARS-CoV-2,WIV04,nsp7,1,11843..12091,1,0,nsp7-nsp8 complex is part of RNA polymerase. produced by both pp1a and pp1ab. Eight copies of nsp7 and eight copies of nsp8 assemble to form a heterohexadecamer dsRNA-encircling ring structure (by similarity). 3860..3942 relative to ORF1a start,"[{""name"": ""Leucine-rich repeat 5 (partial)"", ""ranges"": [[76, 83]]}]"
SARS-CoV-2,WIV04,nsp8,1,12092..12685,1,0,nsp7-nsp8 complex is part of RNA polymerase. produced by both pp1a and pp1ab. Eight copies of nsp7 and eight copies of nsp8 assemble to form a heterohexadecamer dsRNA-encircling ring structure (by similarity). 3943..4140 relative to ORF1a start,"[{""name"": ""Leucine-rich repeat 5 (partial)"", ""ranges"": [[1, 17]]}, {""name"": ""Leucine-rich repeat 6"", ""ranges"": [[35, 62]]}]"
SARS-CoV-2,WIV04,nsp9,1,12686..13024,1,0,ssRNA-binding protein; produced by both pp1a and pp1ab. Is a dimer. 4141..4253 relative to ORF1a start,[]
SARS-CoV-2,WIV04,nsp10 - CysHis,1,13025..13441,1,0,Essential for nsp16 methyltransferase activity. nsp10_CysHis; formerly known as growth-factor-like protein (GFL); produced by both pp1a and pp1ab. Forms a dodecamer and interacts with nsp14 and nsp16. These interactions enhance nsp14 and nsp16 enzymatic activities. 4254..4392 relative to ORF1a start,[]
SARS-CoV-2,WIV04,nsp11,1,13442..13483,1,0,produced by pp1a only. 4393..4406 relative to ORF1a start,[]
SARS-CoV-2,WIV04,nsp12 - RdRp,1,13442..13468;13468..16236,1,0,RNA polymerase. nsp12; NiRAN (nidovirus RdRp-associated nucleotidyltransferase) and RdRp (RNA-dependent RNA polymerase); produced by pp1ab only. Interacts with nsp7 and nsp8. 4393..5324 relative to ORF1a start.,"[{""name"": ""Leucine-rich repeat 7"", ""ranges"": [[199, 224]]}, {""name"": ""Interaction with RMP Remdesivir"", ""ranges"": [[545, 555]]}, {""name"": ""RdRp catalytic site"", ""ranges"": [[612, 774]]}]"
SARS-CoV-2,WIV04,nsp13 - Helicase,1,16237..18039,1,0,"Helicase/triphosphatase. nsp13_ZBD, nsp13_TB, and nsp_HEL1core; zinc-binding domain (ZD), NTPase/helicase domain (HEL), RNA 5'-triphosphatase; produced by pp1ab only. 5325..5925 relative to ORF1a start","[{""name"": ""CoronaVirus Zinc-binding domain"", ""ranges"": [[1, 84]]}, {""name"": ""Leucine-rich repeat 8"", ""ranges"": [[228, 248]]}, {""name"": ""(+)RNA virus helicase ATP-binding"", ""ranges"": [[257, 438]]}, {""name"": ""Nucleotide binding"", ""ranges"": [[282, 289]]}, {""name"": ""(+)RNA virus helicase C-terminal"", ""ranges"": [[439, 608]]}]"
SARS-CoV-2,WIV04,nsp14 - ExoN,1,18040..19620,1,0,3'-5' proofreading exonuclease. nsp14A2_ExoN and nsp14B_NMT; produced by pp1ab only. Interacts (via. N-terminus) with DDX1. Interacts with nsp10. 5926..6452 relative to ORF1a start.,[]
SARS-CoV-2,WIV04,nsp15 - NendoU,1,19621..20658,1,0,Uridine-specific endoribonuclease. nsp15-A1 and nsp15B-NendoU; produced by pp1ab only. 6453..6798 relative to ORF1a start.,[]
SARS-CoV-2,WIV04,nsp16 - 2'-O-MT,1,20659..21552,1,0,RNA-cap methyltransferase. nsp16_OMT; 2'-o-MT; produced by pp1ab only. Interacts with nsp10. 6799..7096 relative to ORF1a start,"[{""name"": ""Leucine-rich repeat 9"", ""ranges"": [[19, 43]]}]"
SARS-CoV-2,WIV04,S,1,21563..25384,1,0,structural protein; spike protein,"[{""name"": ""Receptor binding domain"", ""ranges"": [[319, 541]]}, {""name"": ""S1 subunit"", ""ranges"": [[14, 685]]}, {""name"": ""S2 subunit"", ""ranges"": [[686, 1273]]}, {""name"": ""Signal peptide"", ""ranges"": [[1, 13]]}, {""name"": ""N-terminal domain"", ""ranges"": [[14, 305]]}, {""name"": ""Fusion peptide"", ""ranges"": [[788, 806]]}, {""name"": ""Heptapeptide repeat sequence 1"", ""ranges"": [[912, 984]]}, {""name"": ""Heptapeptide repeat sequence 2"", ""ranges"": [[1163, 1213]]}, {""name"": ""Transmembrane domain"", ""ranges"": [[1213, 1237]]}, {""name"": ""Cytoplasm domain"", ""ranges"": [[1237, 1273]]}]"
SARS-CoV-2,WIV04,orf2b,1,21744..21863,1,0,See: https://doi.org/10.1016/j.virol.2021.02.013. AKA S.iORF1,[]
SARS-CoV-2,WIV04,orf3a,1,25393..26220,1,0,Activates the NLRP3 inflammasome. Coronavirus accessory protein 3a; Region: APA3_viroporin; pfam11289,[]
SARS-CoV-2,WIV04,orf3b,1,25814..25879,1,0,See: https://doi.org/10.1016/j.virol.2021.02.013.,[]
SARS-CoV-2,WIV04,orf3c,1,25457..25582,1,0,"See: https://doi.org/10.1016/j.virol.2021.02.013. AKA ORF3h, 3a.iORF1, ORF3b",[]
SARS-CoV-2,WIV04,orf3d,1,25524..25697,1,0,"See: https://doi.org/10.1016/j.virol.2021.02.013. Novel short protein. AKA ORF3b, ORF3c",[]
SARS-CoV-2,WIV04,orf3d-2,1,25596..25697,1,0,See: https://doi.org/10.1016/j.virol.2021.02.013. Novel short protein. AKA 3a.iORF2,[]
SARS-CoV-2,WIV04,E,1,26245..26472,1,0,"ORF4; structural protein; E protein. Envelope protein, involved in virus morphogenesis and assembly","[{""name"": ""Virion Surface"", ""ranges"": [[1, 16]]}, {""name"": ""Transmembrane, Helical"", ""ranges"": [[17, 37]]}, {""name"": ""Intravirion"", ""ranges"": [[38, 75]]}, {""name"": ""PDZ-binding motif"", ""ranges"": [[72, 75]]}]"
SARS-CoV-2,WIV04,M,1,26523..27191,1,0,ORF5; structural protein; membrane glycoprotein. Predominant component of the envelope,"[{""name"": ""Transmembrane, all"", ""ranges"": [[20, 40], [51, 71], [80, 100]]}, {""name"": ""Virion Surface, all"", ""ranges"": [[2, 19], [72, 79]]}, {""name"": ""Intravirion, all"", ""ranges"": [[41, 50], [101, 222]]}, {""name"": ""Virion Surface 1"", ""ranges"": [[2, 19]]}, {""name"": ""Transmembrane 1, helical"", ""ranges"": [[20, 40]]}, {""name"": ""Intravirion 1"", ""ranges"": [[41, 50]]}, {""name"": ""Transmembrane 2, helical"", ""ranges"": [[51, 71]]}, {""name"": ""Virion Surface 2"", ""ranges"": [[72, 79]]}, {""name"": ""Transmembrane 3, helical"", ""ranges"": [[80, 100]]}, {""name"": ""Intravirion 2"", ""ranges"": [[101, 222]]}]"
SARS-CoV-2,WIV04,orf6,1,27202..27387,1,0,ORF6 protein. Type I IFN antagonist,[]
SARS-CoV-2,WIV04,orf7a,1,27394..27759,1,0,ORF7a protein,"[{""name"": ""Transmembrane, helical"", ""ranges"": [[96, 116]]}, {""name"": ""Signal peptide"", ""ranges"": [[1, 15]]}]"
SARS-CoV-2,WIV04,orf7b,1,27756..27887,1,0,ORF7b protein,"[{""name"": ""Transmembrane, helical"", ""ranges"": [[9, 29]]}]"
SARS-CoV-2,WIV04,orf8,1,27894..28259,1,0,ORF8 protein,"[{""name"": ""Signal peptide"", ""ranges"": [[1, 15]]}, {""name"": ""ORF8 protein"", ""ranges"": [[16, 121]]}]"
SARS-CoV-2,WIV04,N,1,28274..29533,1,0,"ORF9; structural protein; nucleocapsid phosphoprotein, binds to RNA genome","[{""name"": ""RNA-binding"", ""ranges"": [[41, 186]]}, {""name"": ""Dimerization"", ""ranges"": [[258, 361]]}]"
SARS-CoV-2,WIV04,orf9b,1,28284..28577,1,0,"virion-associated protein. Suppress host antiviral response. AKA ORF9a, N.iORF1 ","[{""name"": ""Nuclear export signal"", ""ranges"": [[45, 53]]}]"
SARS-CoV-2,WIV04,orf9c,1,28734..28955,1,0,"Gordon et al., Nature, 2020 (doi: 10.1038/s41586-020-2286-9) Extended Data Fig. 1. AKA ORF9b, ORF14",[]
SARS-CoV-2,WIV04,orf10,1,29558..29674,1,0,ORF10 protein,[]